scenario_id,episode_index,spawn_x_m,spawn_y_m,actuator_gain,wind_x_mps,wind_y_mps,goal_reached,collision,out_of_bounds,time_out,episode_steps,duration_s,final_distance_to_goal_m,path_length_m,trajectory_efficiency,command_variation_mps,command_variation_rate_mps2,min_clearance_m,mean_residual_mps
0,0,-8.32741928100586,0.09666666388511658,1.18940269947052,-0.07199876010417938,0.15480700135231018,True,False,False,False,266,10.639999389648438,0.24929699301719666,17.485057830810547,0.9452469944953918,27.496217727661133,2.58423113822937,0.4230751693248749,0.5407153367996216
1,0,-8.349674224853516,-1.1276546716690063,0.9774273037910461,-0.0766327977180481,-0.025195643305778503,True,False,False,False,336,13.4399995803833,0.27621230483055115,17.449499130249023,0.9505926966667175,28.29327392578125,2.105154275894165,0.4494011104106903,0.5678490996360779
2,0,-8.9384765625,-0.2544955909252167,0.759093701839447,0.0910671055316925,-0.00329510192386806,True,False,False,False,393,15.719999313354492,0.2773861885070801,18.26201057434082,0.9385786652565002,43.64493179321289,2.776395320892334,0.44734498858451843,0.563966691493988
3,0,-8.438748359680176,0.7009971141815186,1.1856248378753662,-0.14819788932800293,0.06930068880319595,True,False,False,False,274,10.960000038146973,0.24556894600391388,17.240875244140625,0.965916633605957,21.920316696166992,2.0000288486480713,0.37899520993232727,0.5427446365356445
4,0,-8.456989288330078,-0.5648274421691895,1.2678728103637695,-0.006088856142014265,0.18095043301582336,True,False,False,False,264,10.559999465942383,0.2597341537475586,18.505319595336914,0.9006272554397583,69.44468688964844,6.576201915740967,0.5104420185089111,0.5711040496826172
5,0,-8.601820945739746,-0.859895646572113,1.1669576168060303,-0.028393235057592392,-0.017700297757983208,True,False,False,False,277,11.079999923706055,0.2645908296108246,17.851150512695312,0.9424281716346741,35.262107849121094,3.1825008392333984,0.44686606526374817,0.5656376481056213
6,0,-8.644721031188965,-0.5899786353111267,0.7361537218093872,-0.017869964241981506,0.03125115483999252,True,False,False,False,435,17.399999618530273,0.28774234652519226,17.954023361206055,0.9387796521186829,55.743797302246094,3.2036666870117188,0.4645092785358429,0.5655503869056702
7,0,-8.12411117553711,-0.6473488807678223,1.0322067737579346,-0.047490332275629044,-0.15502463281154633,True,False,False,False,350,14.0,0.28093597292900085,18.581138610839844,0.8792093992233276,65.8744125366211,4.705315113067627,0.44736024737358093,0.5600946545600891
8,0,-8.041539192199707,-0.9289252758026123,0.8221261501312256,0.0875411257147789,-0.01729283109307289,True,False,False,False,346,13.84000015258789,0.29536089301109314,17.217723846435547,0.9448172450065613,34.54703903198242,2.49617338180542,0.45299747586250305,0.5696245431900024
9,0,-8.377717971801758,-0.6934953927993774,1.1633801460266113,0.014160344377160072,0.028671132400631905,True,False,False,False,265,10.59999942779541,0.26664626598358154,17.686542510986328,0.938112199306488,39.79745864868164,3.7544775009155273,0.4514841139316559,0.566274881362915
10,0,-8.3806734085083,1.0179840326309204,0.8574161529541016,0.0111538739874959,0.008001729846000671,True,False,False,False,338,13.519999504089355,0.2740301787853241,17.037324905395508,0.9749969244003296,22.54306983947754,1.6673868894577026,0.38638612627983093,0.5497950315475464
11,0,-8.944375038146973,-1.003914475440979,0.9869098663330078,-0.09941423684358597,0.04025982692837715,True,False,False,False,353,14.119999885559082,0.2765820622444153,18.20794105529785,0.9431729912757874,46.20937728881836,3.2726187705993652,0.454769104719162,0.5683279037475586
12,0,-8.407578468322754,0.05375325679779053,1.2958149909973145,0.03248511254787445,0.02223094180226326,True,False,False,False,227,9.079999923706055,0.2444421947002411,17.269845962524414,0.9616567492485046,16.378673553466797,1.803818702697754,0.3651827275753021,0.5253841280937195
13,0,-8.853896141052246,1.1047981977462769,1.1440542936325073,-0.029754960909485817,-0.10540476441383362,True,False,False,False,273,10.920000076293945,0.25536540150642395,17.682039260864258,0.9664625525474548,25.407516479492188,2.326695680618286,0.34978029131889343,0.5263200402259827
14,0,-8.13306999206543,1.2206512689590454,0.7774293422698975,-0.01000780425965786,0.049646686762571335,True,False,False,False,375,15.0,0.27924394607543945,16.885822296142578,0.9699142575263977,22.612287521362305,1.5074858665466309,0.4306046664714813,0.5702806115150452
15,0,-8.542220115661621,0.16927644610404968,0.9591710567474365,0.08717438578605652,0.16495980322360992,True,False,False,False,311,12.4399995803833,0.283086359500885,17.83502769470215,0.9387741684913635,34.72502136230469,2.79140043258667,0.4463888108730316,0.5434529185295105
16,0,-8.329808235168457,-1.109179973602295,1.2654168605804443,0.06805895268917084,0.10641778260469437,True,False,False,False,246,9.84000015258789,0.28844261169433594,17.861459732055664,0.9274896383285522,52.61199188232422,5.346746921539307,0.4591650664806366,0.5733999013900757
17,0,-8.078182220458984,0.7521392107009888,1.2340607643127441,0.06566642224788666,-0.05622272565960884,True,False,False,False,223,8.920000076293945,0.2677670121192932,16.7100830078125,0.9751738905906677,17.137920379638672,1.921291470527649,0.367754727602005,0.552190899848938
18,0,-8.551227569580078,0.24184122681617737,0.8955519199371338,0.05943821743130684,-0.05249722674489021,True,False,False,False,322,12.880000114440918,0.24991853535175323,17.34265899658203,0.9659962058067322,21.143558502197266,1.641580581665039,0.3525858223438263,0.5246384143829346
19,0,-8.022303581237793,0.21966591477394104,1.165871262550354,0.05466645956039429,-0.010682966560125351,True,False,False,False,240,9.59999942779541,0.25376081466674805,16.80904769897461,0.9651804566383362,17.605039596557617,1.8338583707809448,0.35075685381889343,0.5423981547355652
20,0,-8.072949409484863,1.1916744709014893,0.7396361231803894,0.047638557851314545,-0.10021975636482239,True,False,False,False,374,14.960000038146973,0.28264811635017395,16.90326499938965,0.9652417302131653,47.652748107910156,3.1853442192077637,0.3481247127056122,0.5598776340484619
