scenario_id,episode_index,spawn_x_m,spawn_y_m,actuator_gain,wind_x_mps,wind_y_mps,goal_reached,collision,out_of_bounds,time_out,episode_steps,duration_s,final_distance_to_goal_m,path_length_m,trajectory_efficiency,command_variation_mps,command_variation_rate_mps2,min_clearance_m,mean_residual_mps
0,0,-8.32741928100586,0.09666666388511658,1.18940269947052,-0.07199876010417938,0.15480700135231018,False,False,False,True,1124,44.959999084472656,9.498372077941895,52.339332580566406,0.3157796859741211,1242.586669921875,27.637603759765625,0.34343263506889343,0.0
1,0,-8.349674224853516,-1.1276546716690063,0.9774273037910461,-0.0766327977180481,-0.025195643305778503,True,False,False,False,553,22.119998931884766,0.2878194749355316,20.164215087890625,0.8226140141487122,200.60052490234375,9.068739891052246,0.43526002764701843,0.0
2,0,-8.9384765625,-0.2544955909252167,0.759093701839447,0.0910671055316925,-0.00329510192386806,True,False,False,False,593,23.719999313354492,0.281786173582077,19.850479125976562,0.8634719848632812,192.03048706054688,8.095720291137695,0.33931276202201843,0.0
3,0,-8.438748359680176,0.7009971141815186,1.1856248378753662,-0.14819788932800293,0.06930068880319595,True,False,False,False,484,19.35999870300293,0.28139835596084595,20.4409122467041,0.8147017955780029,181.4204864501953,9.370893478393555,0.33616945147514343,0.0
4,0,-8.456989288330078,-0.5648274421691895,1.2678728103637695,-0.006088856142014265,0.18095043301582336,False,False,False,True,1124,44.959999084472656,14.544510841369629,56.310386657714844,0.2959737181663513,1544.2669677734375,34.34757614135742,0.6750427484512329,0.0
5,0,-8.601820945739746,-0.859895646572113,1.1669576168060303,-0.028393235057592392,-0.017700297757983208,True,False,False,False,443,17.719999313354492,0.25911882519721985,20.24443817138672,0.8310147523880005,150.37127685546875,8.485963821411133,0.43214723467826843,0.0
6,0,-8.644721031188965,-0.5899786353111267,0.7361537218093872,-0.017869964241981506,0.03125115483999252,False,False,False,True,1124,44.959999084472656,1.6359385251998901,32.64793014526367,0.5162615776062012,491.00384521484375,10.920904159545898,0.44540247321128845,0.0
7,0,-8.12411117553711,-0.6473488807678223,1.0322067737579346,-0.047490332275629044,-0.15502463281154633,False,False,False,True,1124,44.959999084472656,9.613149642944336,45.419395446777344,0.3596858084201813,1347.6165771484375,29.973678588867188,0.5408356189727783,0.0
8,0,-8.041539192199707,-0.9289252758026123,0.8221261501312256,0.0875411257147789,-0.01729283109307289,True,False,False,False,528,21.119998931884766,0.2908458113670349,18.911191940307617,0.8602103590965271,185.03890991210938,8.761312484741211,0.43751832842826843,0.0
9,0,-8.377717971801758,-0.6934953927993774,1.1633801460266113,0.014160344377160072,0.028671132400631905,True,False,False,False,433,17.31999969482422,0.28098011016845703,20.365528106689453,0.8147081136703491,162.9453125,9.407928466796875,0.43832704424858093,0.0
10,0,-8.3806734085083,1.0179840326309204,0.8574161529541016,0.0111538739874959,0.008001729846000671,True,False,False,False,563,22.51999855041504,0.291253924369812,19.51798439025879,0.8510786294937134,194.37159729003906,8.63106632232666,0.33822938799858093,0.0
11,0,-8.944375038146973,-1.003914475440979,0.9869098663330078,-0.09941423684358597,0.04025982692837715,True,False,False,False,648,25.920000076293945,0.29745060205459595,23.637989044189453,0.7265101671218872,264.1180725097656,10.189740180969238,0.4462082087993622,0.0
12,0,-8.407578468322754,0.05375325679779053,1.2958149909973145,0.03248511254787445,0.02223094180226326,True,False,False,False,373,14.920000076293945,0.2523336112499237,19.73586082458496,0.8414968252182007,129.66531372070312,8.690704345703125,0.33108827471733093,0.0
13,0,-8.853896141052246,1.1047981977462769,1.1440542936325073,-0.029754960909485817,-0.10540476441383362,False,False,False,True,1124,44.959999084472656,4.672323226928711,50.89457702636719,0.3357730805873871,916.5245971679688,20.385334014892578,0.3317328989505768,0.0
