scenario_id,episode_index,spawn_x_m,spawn_y_m,actuator_gain,wind_x_mps,wind_y_mps,goal_reached,collision,out_of_bounds,time_out,episode_steps,duration_s,final_distance_to_goal_m,path_length_m,trajectory_efficiency,command_variation_mps,command_variation_rate_mps2,min_clearance_m,mean_residual_mps
0,0,-8.32741928100586,0.09666666388511658,1.18940269947052,-0.07199876010417938,0.15480700135231018,False,True,False,False,44,1.7599999904632568,13.972174644470215,2.9620630741119385,5.5797929763793945,5.380921363830566,3.0573418140411377,-0.017109274864196777,0.0
1,0,-8.349674224853516,-1.1276546716690063,0.9774273037910461,-0.0766327977180481,-0.025195643305778503,True,False,False,False,362,14.479999542236328,0.24826519191265106,20.278757095336914,0.8179675936698914,167.89544677734375,11.594989776611328,0.6740908622741699,0.0
2,0,-8.9384765625,-0.2544955909252167,0.759093701839447,0.0910671055316925,-0.00329510192386806,True,False,False,False,425,17.0,0.27065616846084595,20.662904739379883,0.8295219540596008,139.1885223388672,8.187560081481934,0.2562936246395111,0.0
3,0,-8.438748359680176,0.7009971141815186,1.1856248378753662,-0.14819788932800293,0.06930068880319595,True,False,False,False,315,12.59999942779541,0.2944592833518982,20.80242156982422,0.8005437254905701,113.5374755859375,9.010910987854004,0.002444535493850708,0.0
4,0,-8.456989288330078,-0.5648274421691895,1.2678728103637695,-0.006088856142014265,0.18095043301582336,True,False,False,False,266,10.639999389648438,0.27328839898109436,20.092666625976562,0.829476535320282,90.8703384399414,8.540446281433105,0.17909875512123108,0.0
5,0,-8.601820945739746,-0.859895646572113,1.1669576168060303,-0.028393235057592392,-0.017700297757983208,True,False,False,False,296,11.84000015258789,0.24627289175987244,20.434112548828125,0.8233010768890381,132.1195068359375,11.15874195098877,0.6557230949401855,0.0
6,0,-8.644721031188965,-0.5899786353111267,0.7361537218093872,-0.017869964241981506,0.03125115483999252,True,False,False,False,466,18.639999389648438,0.26663362979888916,20.297439575195312,0.8303939700126648,149.31556701660156,8.010492324829102,0.5788019895553589,0.0
7,0,-8.12411117553711,-0.6473488807678223,1.0322067737579346,-0.047490332275629044,-0.15502463281154633,True,False,False,False,335,13.399999618530273,0.2560148537158966,20.041461944580078,0.81514573097229,148.47198486328125,11.079998970031738,0.5218656063079834,0.0
8,0,-8.041539192199707,-0.9289252758026123,0.8221261501312256,0.0875411257147789,-0.01729283109307289,True,False,False,False,374,14.960000038146973,0.280108779668808,19.5408992767334,0.8324899673461914,150.8793182373047,10.085515975952148,0.6329818964004517,0.0
9,0,-8.377717971801758,-0.6934953927993774,1.1633801460266113,0.014160344377160072,0.028671132400631905,True,False,False,False,286,11.4399995803833,0.2660122513771057,20.101898193359375,0.8253927230834961,112.62201690673828,9.844582557678223,0.615095853805542,0.0
10,0,-8.3806734085083,1.0179840326309204,0.8574161529541016,0.0111538739874959,0.008001729846000671,False,True,False,False,60,2.3999998569488525,14.019189834594727,3.106684684753418,5.346966743469238,4.192256450653076,1.746773600578308,-0.026500016450881958,0.0
11,0,-8.944375038146973,-1.003914475440979,0.9869098663330078,-0.09941423684358597,0.04025982692837715,True,False,False,False,373,14.920000076293945,0.28089606761932373,20.83424186706543,0.8242794871330261,141.84051513671875,9.506736755371094,0.6608092784881592,0.0
12,0,-8.407578468322754,0.05375325679779053,1.2958149909973145,0.03248511254787445,0.02223094180226326,False,True,False,False,38,1.5199999809265137,13.996853828430176,2.997389078140259,5.540709972381592,5.163421630859375,3.3969879150390625,-0.005063772201538086,0.0
13,0,-8.853896141052246,1.1047981977462769,1.1440542936325073,-0.029754960909485817,-0.10540476441383362,True,False,False,False,313,12.519999504089355,0.2781303822994232,21.21253776550293,0.8056098222732544,130.74330139160156,10.442755699157715,0.005784451961517334,0.0
14,0,-8.13306999206543,1.2206512689590454,0.7774293422698975,-0.01000780425965786,0.049646686762571335,True,False,False,False,437,17.479999542236328,0.27244725823402405,20.139089584350586,0.8132343888282776,150.80152893066406,8.627090454101562,0.44992002844810486,0.0
15,0,-8.542220115661621,0.16927644610404968,0.9591710567474365,0.08717438578605652,0.16495980322360992,False,True,False,False,53,2.119999885559082,13.990962982177734,3.146196126937866,5.32168436050415,3.762460470199585,1.7747455835342407,-0.0191706120967865,0.0
16,0,-8.329808235168457,-1.109179973602295,1.2654168605804443,0.06805895268917084,0.10641778260469437,True,False,False,False,252,10.079999923706055,0.2453182190656662,19.72702980041504,0.8397776484489441,100.29715728759766,9.950115203857422,0.6433367729187012,0.0
17,0,-8.078182220458984,0.7521392107009888,1.2340607643127441,0.06566642224788666,-0.05622272565960884,False,True,False,False,37,1.4800000190734863,13.994162559509277,2.8605825901031494,5.696474552154541,3.2986183166503906,2.2287962436676025,-0.0016994774341583252,0.0
18,0,-8.551227569580078,0.24184122681617737,0.8955519199371338,0.05943821743130684,-0.05249722674489021,True,False,False,False,368,14.719999313354492,0.280723512172699,20.500314712524414,0.8172041773796082,144.81275939941406,9.837823867797852,0.13550204038619995,0.0
19,0,-8.022303581237793,0.21966591477394104,1.165871262550354,0.05466645956039429,-0.010682966560125351,True,False,False,False,278,11.119999885559082,0.23880749940872192,19.950328826904297,0.8132078647613525,112.86119842529297,10.149388313293457,0.008854806423187256,0.0
20,0,-8.072949409484863,1.1916744709014893,0.7396361231803894,0.047638557851314545,-0.10021975636482239,False,True,False,False,62,2.4800000190734863,13.98231029510498,2.914774179458618,5.597599029541016,4.19631814956665,1.692063808441162,-0.014170289039611816,0.0
21,0,-8.694743156433105,-1.0740910768508911,0.7525783777236938,-0.09055019170045853,-0.09848013520240784,True,False,False,False,495,19.799999237060547,0.2952151298522949,20.664478302001953,0.8191960453987122,212.6348876953125,10.7391357421875,0.5974574089050293,0.0
