controller,success_rate,collision_rate,duration_s,path_length_m,trajectory_efficiency,command_variation_rate_mps2,min_clearance_m,mean_residual_mps,decision_latency_ms
Classical,1.0,0.0,20.049997329711914,20.05146598815918,0.8328588008880615,8.647583961486816,0.33524468541145325,0.0,0.14618636813759803
Standalone RL,1.0,0.0,13.679994583129883,20.520814895629883,0.8138079047203064,9.423372268676758,0.07532210648059845,0.0,0.20041472020745277
Residual RL,1.0,0.0,12.0,17.281274795532227,0.9663639068603516,1.16702139377594,0.3751595914363861,0.521757185459137,0.32755590388178824
