goal_reached,collision,out_of_bounds,time_out,episode_steps,duration_s,final_distance_to_goal_m,path_length_m,trajectory_efficiency,command_variation_mps,min_clearance_m,mean_residual_mps
True,False,False,False,502,20.079999923706055,0.27013397216796875,20.078630447387695,0.83173006772995,174.63290405273438,0.3348747789859772,0.0
True,False,False,False,502,20.079999923706055,0.2701241672039032,20.079557418823242,0.8316916823387146,174.63290405273438,0.3350578844547272,0.0
True,False,False,False,502,20.079999923706055,0.2701241672039032,20.079557418823242,0.8316916823387146,174.63290405273438,0.3350578844547272,0.0
True,False,False,False,502,20.079999923706055,0.27013397216796875,20.078630447387695,0.83173006772995,174.63290405273438,0.3348747789859772,0.0
True,False,False,False,502,20.079999923706055,0.26941752433776855,20.079702377319336,0.8316856622695923,174.63290405273438,0.334887832403183,0.0
True,False,False,False,502,20.079999923706055,0.2694076895713806,20.08062744140625,0.8316473364830017,174.63290405273438,0.3350708782672882,0.0
True,False,False,False,502,20.079999923706055,0.2694076895713806,20.08062744140625,0.8316473364830017,174.63290405273438,0.3350708782672882,0.0
True,False,False,False,502,20.079999923706055,0.26941752433776855,20.079702377319336,0.8316856622695923,174.63290405273438,0.334887832403183,0.0
True,False,False,False,502,20.079999923706055,0.2693723142147064,20.079694747924805,0.8316860198974609,174.63290405273438,0.3348912298679352,0.0
True,False,False,False,502,20.079999923706055,0.2693624794483185,20.080612182617188,0.8316479921340942,174.63290405273438,0.3350742757320404,0.0
True,False,False,False,502,20.079999923706055,0.2693624794483185,20.080612182617188,0.8316479921340942,174.63290405273438,0.3350742757320404,0.0
True,False,False,False,502,20.079999923706055,0.2693723142147064,20.079694747924805,0.8316860198974609,174.63290405273438,0.3348912298679352,0.0
True,False,False,False,502,20.079999923706055,0.2702120244503021,20.078561782836914,0.8317329287528992,174.63290405273438,0.33487167954444885,0.0
True,False,False,False,502,20.079999923706055,0.2702022194862366,20.07948875427246,0.8316945433616638,174.63290405273438,0.3350547254085541,0.0
True,False,False,False,502,20.079999923706055,0.2702022194862366,20.07948875427246,0.8316945433616638,174.63290405273438,0.3350547254085541,0.0
True,False,False,False,502,20.079999923706055,0.2702120244503021,20.078561782836914,0.8317329287528992,174.63290405273438,0.33487167954444885,0.0
