controller,success_rate,collision_rate,out_of_bounds_rate,time_out_rate,successful_episodes,successful_duration_s,successful_path_length_m,successful_trajectory_efficiency,reliability_adjusted_efficiency,successful_command_variation_rate_mps2,successful_min_clearance_m,successful_mean_residual_mps,decision_latency_ms
Classical,1.0,0.0,0.0,0.0,1024,20.530741713941097,20.6462013553828,0.8136479744862299,0.8136479744862299,9.24101033154875,0.3667657944606617,0.0,0.13572243213653565
Standalone RL,0.8974609375,0.1025390625,0.0,0.0,919,13.629248866059445,20.460763640709878,0.8169035645641621,0.7331390389008448,9.545785657988539,0.2333134921253441,0.0,0.20250963214039802
Residual RL,1.0,0.0,0.0,0.0,1024,12.615546599961817,17.712960386648774,0.9444578815018758,0.9444578815018758,2.6329001976992004,0.4098671489628032,0.5488793750409968,0.34173439976572995
