controller,success_rate,collision_rate,out_of_bounds_rate,time_out_rate,successful_episodes,successful_duration_s,successful_path_length_m,successful_trajectory_efficiency,reliability_adjusted_efficiency,successful_command_variation_rate_mps2,successful_min_clearance_m,successful_mean_residual_mps,decision_latency_ms
Classical,0.6005859375,0.0,0.0,0.3994140625,615,20.869527965638696,20.96793637469532,0.80844487106897,0.48554062080802396,9.380347613202847,0.37498999674145767,0.0,0.13789343979954718
Standalone RL,0.814453125,0.18359375,0.0,0.001953125,834,14.362589590269312,20.45304457803996,0.8183455703069837,0.6665041070664302,9.781604051589966,0.3252116260196951,0.0,0.20975852824747562
Residual RL,0.9990234375,0.0,0.0,0.0009765625,1023,13.167272412998352,17.772433056276682,0.9422588410731751,0.9413386664236896,3.004082003413524,0.41442252804806506,0.552009694678809,0.3407744638770819
